Date,Product,Category,Quantity,UnitPrice,Total
2023-03-01,Bolsas de Almacenaje,Empaque,40,15.00,600.00
2023-03-02,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-03-03,Semillas de Maíz,Insumos,15,150.00,2250.00
2023-03-04,Fertilizante Nitrogenado,Químicos,5,250.00,1250.00
2023-03-05,Herbicida Selectivo,Químicos,3,400.00,1200.00
2023-03-06,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-03-07,Semillas de Soja,Insumos,20,120.00,2400.00
2023-03-08,Fungicida sistémico,Químicos,8,180.00,1440.00
2023-03-09,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-03-10,Sensores de Humedad,Tecnología,4,300.00,1200.00
2023-03-11,Bolsas de Almacenaje,Empaque,50,15.00,750.00
2023-03-12,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-03-13,Semillas de Maíz,Insumos,10,150.00,1500.00
2023-03-14,Fertilizante Nitrogenado,Químicos,5,250.00,1250.00
2023-03-15,Herbicida Selectivo,Químicos,2,400.00,800.00
2023-03-16,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-03-17,Semillas de Soja,Insumos,20,120.00,2400.00
2023-03-18,Fungicida sistémico,Químicos,8,180.00,1440.00
2023-03-19,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-03-20,Sensores de Humedad,Tecnología,4,300.00,1200.00
2023-03-21,Bolsas de Almacenaje,Empaque,50,15.00,750.00
2023-03-22,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-03-23,Semillas de Maíz,Insumos,10,150.00,1500.00
2023-03-24,Fertilizante Nitrogenado,Químicos,5,250.00,1250.00
2023-03-25,Herbicida Selectivo,Químicos,2,400.00,800.00
2023-03-26,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-03-27,Semillas de Soja,Insumos,20,120.00,2400.00
2023-03-28,Fungicida sistémico,Químicos,8,180.00,1440.00
2023-03-29,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-03-30,Sensores de Humedad,Tecnología,4,300.00,1200.00
2023-03-31,Bolsas de Almacenaje,Empaque,50,15.00,750.00
2023-04-01,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-04-02,Semillas de Maíz,Insumos,10,150.00,1500.00
2023-04-03,Fertilizante Nitrogenado,Químicos,5,250.00,1250.00
2023-04-04,Herbicida Selectivo,Químicos,2,400.00,800.00
2023-04-05,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-04-06,Semillas de Soja,Insumos,20,120.00,2400.00
2023-04-07,Fungicida sistémico,Químicos,8,180.00,1440.00
2023-04-08,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-04-09,Sensores de Humedad,Tecnología,4,300.00,1200.00
2023-04-10,Bolsas de Almacenaje,Empaque,50,15.00,750.00
2023-04-11,Analísis de Suelo,Servicios,2,1200.00,2400.00
